Callsign,CQZ,ValidFrom,ValidTo
VE8/VE2BQB,2,1994-07-26T00:00:00+00:00,1994-11-27T23:59:59+00:00
VE2ZP,2,1989-10-27T00:00:00+00:00,1989-10-31T23:59:59+00:00
VF0X,2,2007-06-27T00:00:00+00:00,2007-07-08T23:59:59+00:00
VF0X/M,2,2007-06-27T00:00:00+00:00,2007-07-08T23:59:59+00:00
VB2T,2,2015-10-24T00:00:00+00:00,2015-10-25T23:59:59+00:00
VE2IDX,2,2015-10-23T00:00:00+00:00,2015-10-25T23:59:59+00:00
VE2IDX,2,2011-10-26T00:00:00+00:00,2011-10-30T23:59:59+00:00
VE2UMS,2,1988-10-01T00:00:00+00:00,1988-10-02T23:59:59+00:00
VE2UMS/VE2,2,1988-10-01T00:00:00+00:00,1988-10-02T23:59:59+00:00
VE2A,2,2001-07-21T00:00:00+00:00,2001-07-24T23:59:59+00:00
VC2A,2,2009-05-30T00:00:00+00:00,2009-05-31T23:59:59+00:00
VE2/JA8BMK,2,2011-11-02T00:00:00+00:00,2011-11-09T23:59:59+00:00
VE2/KD3RF,2,2002-10-26T00:00:00+00:00,2002-10-28T23:59:59+00:00
VE2/KD3RF/M,2,2004-10-27T00:00:00+00:00,2004-10-27T23:59:59+00:00
VE2DYX,2,1977-02-01T00:00:00+00:00,1993-12-31T23:59:59+00:00
VE2EKA,2,2011-11-25T00:00:00+00:00,2011-11-28T23:59:59+00:00
VE2EKA,2,2012-11-23T00:00:00+00:00,2012-11-26T23:59:59+00:00
VE2EKA,2,2009-07-09T00:00:00+00:00,2009-07-13T23:59:59+00:00
VE2GSO,2,1989-10-01T00:00:00+00:00,2015-07-31T23:59:59+00:00
VE2HAY/P,2,2010-06-11T00:00:00+00:00,2010-06-20T23:59:59+00:00
VE2HAY/P,2,2012-07-03T00:00:00+00:00,2012-07-06T23:59:59+00:00
VE2HAY/P,2,2013-07-03T00:00:00+00:00,2013-07-07T23:59:59+00:00
VE2HAY,2,2010-06-11T00:00:00+00:00,2010-06-20T23:59:59+00:00
VE2HAY,2,2012-07-03T00:00:00+00:00,2012-07-06T23:59:59+00:00
VE2HAY,2,2013-07-03T00:00:00+00:00,2013-07-07T23:59:59+00:00
VE2IM,2,1999-07-10T00:00:00+00:00,
VE2XAA/2,2,1999-11-24T00:00:00+00:00,1999-11-29T23:59:59+00:00
VE2XAA/2,2,2000-11-22T00:00:00+00:00,2000-11-27T23:59:59+00:00
VE2XAA/2,2,2001-10-23T00:00:00+00:00,2001-10-29T23:59:59+00:00
VE2XAA/2,2,2002-11-20T00:00:00+00:00,2002-11-26T23:59:59+00:00
VE2XAA/2,2,2003-11-26T00:00:00+00:00,2003-12-01T23:59:59+00:00
VE2XAA/2,2,2004-10-28T00:00:00+00:00,2004-11-02T23:59:59+00:00
VE2XAA/2,2,2007-11-21T00:00:00+00:00,2007-11-26T23:59:59+00:00
VE2XAA/2,2,2006-10-25T00:00:00+00:00,2006-10-30T23:59:59+00:00
VE2XAA/2,2,2008-11-25T00:00:00+00:00,2008-12-01T23:59:59+00:00
VE2XAA/2,2,2010-11-23T00:00:00+00:00,2010-11-29T23:59:59+00:00
VE2XAA/2,2,2005-10-26T00:00:00+00:00,2005-10-31T23:59:59+00:00
VE2CSI,2,1992-10-24T00:00:00+00:00,
VE2Z,2,2011-10-25T00:00:00+00:00,2011-10-30T23:59:59+00:00
3C8ML,2,1967-01-01T00:00:00+00:00,1967-04-10T23:59:59+00:00
3C8YC,2,1967-01-01T00:00:00+00:00,1967-04-10T23:59:59+00:00
3C8YX,2,1967-01-01T00:00:00+00:00,1967-12-31T23:59:59+00:00
3C8AG,2,1967-01-01T00:00:00+00:00,1967-12-31T23:59:59+00:00
VE8MD,2,1948-04-03T00:00:00+00:00,1978-09-19T23:59:59+00:00
K8BA/VE2,2,1983-10-26T00:00:00+00:00,1983-10-28T23:59:59+00:00
VE3AXC/2,2,2016-07-08T00:00:00+00:00,2016-07-10T23:59:59+00:00
VE3NE/2,2,2016-07-09T00:00:00+00:00,2016-07-10T23:59:59+00:00
VE3NE/2,2,2006-11-23T00:00:00+00:00,2006-11-26T23:59:59+00:00
W3DNY/VE8,2,1973-11-15T00:00:00+00:00,1974-03-31T23:59:59+00:00
W1LXE/VE8,2,1972-10-08T00:00:00+00:00,1974-06-23T23:59:59+00:00
W3VMB/VE8,2,1973-06-10T00:00:00+00:00,1974-08-20T23:59:59+00:00
VE2FDJ/P,2,2016-08-15T00:00:00+00:00,2016-08-18T23:59:59+00:00
VE2FDJ/2,2,2016-08-16T00:00:00+00:00,2016-08-18T23:59:59+00:00
VE2/G3ZAY/P,2,2003-06-13T00:00:00+00:00,2003-06-15T23:59:59+00:00
VE2/M0BLF/P,2,2003-06-13T00:00:00+00:00,2003-06-15T23:59:59+00:00
VB2W,2,2016-10-29T00:00:00+00:00,2016-10-30T23:59:59+00:00
VA2DO,2,1998-10-23T00:00:00+00:00,1998-10-26T23:59:59+00:00
VA2DO,2,1999-06-21T00:00:00+00:00,1999-06-22T23:59:59+00:00
VE2DXY,2,2016-10-29T00:00:00+00:00,2016-10-30T23:59:59+00:00
VE2DXY,2,2006-10-27T00:00:00+00:00,2006-10-29T23:59:59+00:00
VE2DXY,2,2008-10-24T00:00:00+00:00,2008-10-26T23:59:59+00:00
VE2DXY,2,2007-10-26T00:00:00+00:00,2007-10-28T23:59:59+00:00
VE2DXY,2,2009-10-23T00:00:00+00:00,2009-10-25T23:59:59+00:00
VE2DXY,2,2010-10-30T00:00:00+00:00,2010-10-31T23:59:59+00:00
VE2DXY,2,2011-10-29T00:00:00+00:00,2011-10-30T23:59:59+00:00
VE2DXY,2,2013-10-25T00:00:00+00:00,2013-10-28T23:59:59+00:00
VE3DO/2,2,1998-05-18T00:00:00+00:00,1998-05-19T23:59:59+00:00
VE2DXY,2,2012-10-26T00:00:00+00:00,2012-10-28T23:59:59+00:00
VE2IDX,2,2016-10-24T00:00:00+00:00,2016-10-30T23:59:59+00:00
VE3ZF/2,2,2016-10-30T00:00:00+00:00,2016-10-30T23:59:59+00:00
VE3NE/2,2,2016-11-25T00:00:00+00:00,2016-11-27T23:59:59+00:00
VE3AXC/2,2,2016-11-25T00:00:00+00:00,2016-11-27T23:59:59+00:00
VC3W/2,2,2016-11-26T00:00:00+00:00,2016-11-27T23:59:59+00:00
VE100VIMY/VY,2,2017-02-19T00:00:00+00:00,2017-02-25T23:59:59+00:00
VE100VIMY/VO,2,2017-03-25T00:00:00+00:00,2017-03-30T23:59:59+00:00
CG2NNX/P,2,2017-02-11T00:00:00+00:00,2017-02-11T23:59:59+00:00
CG2NNX,2,2017-02-11T00:00:00+00:00,2017-02-11T23:59:59+00:00
VE2FCV,2,1982-07-26T00:00:00+00:00,1982-08-01T23:59:59+00:00
CF2VVV,2,2017-01-01T00:00:00+00:00,2017-12-31T23:59:59+00:00
VA2VVV,2,2004-01-01T00:00:00+00:00,
VC8DR,2,1992-02-04T00:00:00+00:00,1992-02-24T23:59:59+00:00
VE8B,2,1997-07-28T00:00:00+00:00,1997-07-30T23:59:59+00:00
VE2MAM/P,2,2002-08-17T00:00:00+00:00,2002-08-22T23:59:59+00:00
VE2MAM/P,2,2001-07-20T00:00:00+00:00,2001-07-23T23:59:59+00:00
VE2MAM/P,2,2001-06-15T00:00:00+00:00,2001-06-19T23:59:59+00:00
VO1XA/VE8,2,1993-12-30T00:00:00+00:00,1994-05-21T23:59:59+00:00
W0MHK/VE2,2,1991-10-26T00:00:00+00:00,1991-10-27T23:59:59+00:00
W0MHK/VE2,2,1993-10-30T00:00:00+00:00,1993-11-01T23:59:59+00:00
VO/DL2GF,2,2003-09-21T00:00:00+00:00,2003-10-01T23:59:59+00:00
VO/DL2GF/P,2,2003-09-21T00:00:00+00:00,2003-10-01T23:59:59+00:00
VO/DL2GF/P,2,2001-09-14T00:00:00+00:00,2001-10-01T23:59:59+00:00
VO/DL2GF,2,2001-09-14T00:00:00+00:00,2001-10-01T23:59:59+00:00
VE8YE,2,1970-01-02T00:00:00+00:00,1977-07-28T23:59:59+00:00
CJ2DR,2,1995-03-25T00:00:00+00:00,1995-03-26T23:59:59+00:00
VE7CRW/VE8,2,1987-08-07T00:00:00+00:00,1988-03-28T23:59:59+00:00
VE7CRW/VE8,2,1990-09-28T00:00:00+00:00,1990-11-06T23:59:59+00:00
VE7CRW/8,2,1987-08-07T00:00:00+00:00,1988-03-28T23:59:59+00:00
VE7CRW/8,2,1990-09-28T00:00:00+00:00,1990-11-06T23:59:59+00:00
VE2ENB,2,,2007-11-30T23:59:59+00:00
VE2UA,2,1994-09-21T00:00:00+00:00,1998-10-30T23:59:59+00:00
VA2UA,2,1996-10-25T00:00:00+00:00,1998-10-25T23:59:59+00:00
VC2EME,2,2017-06-25T00:00:00+00:00,2017-06-28T23:59:59+00:00
XM3NE/2,2,2009-05-27T00:00:00+00:00,2009-06-01T23:59:59+00:00
VE2IDX,2,2017-10-26T00:00:00+00:00,2017-10-29T23:59:59+00:00
KD2JR/VE8,2,1991-09-04T00:00:00+00:00,1996-09-09T23:59:59+00:00
KD2JR/XK8,2,1995-08-23T00:00:00+00:00,1995-09-10T23:59:59+00:00
VE8DR,2,1992-02-01T00:00:00+00:00,1992-03-17T23:59:59+00:00
KA2SJJ/VE8,2,1993-09-05T00:00:00+00:00,1993-09-07T23:59:59+00:00
KA2SJJ/VE8,2,1994-06-23T00:00:00+00:00,1994-06-29T23:59:59+00:00
NU2L/VE8,2,1992-08-25T00:00:00+00:00,1992-08-29T23:59:59+00:00
NU2L/VE8,2,1993-08-09T00:00:00+00:00,1993-08-12T23:59:59+00:00
NU2L/VE8,2,1993-08-14T00:00:00+00:00,1993-08-16T23:59:59+00:00
NU2L/VE8,2,1996-08-30T00:00:00+00:00,1996-09-02T23:59:59+00:00
VE8YM,2,1967-01-01T00:00:00+00:00,1979-12-31T23:59:59+00:00
VA2RAG,2,1998-07-29T00:00:00+00:00,2004-09-29T23:59:59+00:00
VC2BQB,2,1992-01-12T00:00:00+00:00,1992-02-04T23:59:59+00:00
VE2/W1FM,2,1980-08-13T00:00:00+00:00,1980-08-17T23:59:59+00:00
VE2EDK,2,1976-03-05T00:00:00+00:00,
WB1CBY/VE8,2,1994-05-21T00:00:00+00:00,1994-07-25T23:59:59+00:00
VE8PW,2,1987-05-15T00:00:00+00:00,1999-03-31T23:59:59+00:00
VE8RN,2,1963-06-19T00:00:00+00:00,1964-10-30T23:59:59+00:00
WT2O/VE2,2,1992-09-03T00:00:00+00:00,1992-09-07T23:59:59+00:00
VE8TA,2,1995-07-04T00:00:00+00:00,1998-12-01T23:59:59+00:00
WT2O/VE8,2,1993-08-11T00:00:00+00:00,1993-08-14T23:59:59+00:00
WT2O/VE8,2,1994-08-13T00:00:00+00:00,1994-08-14T23:59:59+00:00
G3ZJS/VE8,2,1988-08-01T00:00:00+00:00,1988-08-10T23:59:59+00:00
CG8RCS,2,1991-02-01T00:00:00+00:00,1991-02-28T23:59:59+00:00
VE8MTD,2,1975-01-01T00:00:00+00:00,1985-10-15T23:59:59+00:00
VA3ZC/8,2,1996-12-29T00:00:00+00:00,1996-12-29T23:59:59+00:00
WB1CBY/VO2,2,1993-08-17T00:00:00+00:00,1994-08-09T23:59:59+00:00
VE2PR/VE8,2,1997-05-21T00:00:00+00:00,1997-06-14T23:59:59+00:00
VE3JKC/2,2,1985-07-01T00:00:00+00:00,1985-09-30T23:59:59+00:00
VE2FGG,2,1985-10-01T00:00:00+00:00,1986-04-30T23:59:59+00:00
VE2DWU,2,1982-07-26T00:00:00+00:00,1982-08-02T23:59:59+00:00
VE2DWU,2,1985-07-20T00:00:00+00:00,1985-07-24T23:59:59+00:00
VE2DWU,2,1987-07-15T00:00:00+00:00,1987-07-26T23:59:59+00:00
VE2DWU,2,1986-07-15T00:00:00+00:00,1986-07-23T23:59:59+00:00
VE2DWU,2,1988-07-19T00:00:00+00:00,1988-07-29T23:59:59+00:00
VE2DWU,2,1991-07-15T00:00:00+00:00,1991-07-26T23:59:59+00:00
VE2DWU,2,1980-07-23T00:00:00+00:00,1980-07-25T23:59:59+00:00
VE2DWU,2,1981-07-27T00:00:00+00:00,1981-08-01T23:59:59+00:00
VE2DWU,2,1983-07-19T00:00:00+00:00,1983-07-23T23:59:59+00:00
VE2DWU,2,1989-07-17T00:00:00+00:00,1989-07-27T23:59:59+00:00
VE2LJ,2,1986-05-01T00:00:00+00:00,1990-12-31T23:59:59+00:00
CZ4SWG,2,1993-02-25T00:00:00+00:00,1993-03-04T23:59:59+00:00
CZ8RCS,2,1988-10-03T00:00:00+00:00,1988-10-03T23:59:59+00:00
VE2DWU,2,1984-07-22T00:00:00+00:00,1984-07-27T23:59:59+00:00
CG2DYX,2,1978-02-01T00:00:00+00:00,1978-09-30T23:59:59+00:00
VX8RCS,2,1988-01-01T00:00:00+00:00,1988-02-29T23:59:59+00:00
XK2EDK,2,1993-03-02T00:00:00+00:00,1993-06-03T23:59:59+00:00
CK2EOH,2,1992-01-18T00:00:00+00:00,1992-01-30T23:59:59+00:00
VC2EOH,2,1992-01-18T00:00:00+00:00,1992-02-29T23:59:59+00:00
VB2C,2,2003-10-21T00:00:00+00:00,2003-10-27T23:59:59+00:00
K5YG/VE2,2,2007-10-24T00:00:00+00:00,2007-10-29T23:59:59+00:00
VE3FDX/2,2,2007-10-22T00:00:00+00:00,2007-10-23T23:59:59+00:00
VA2MCJ/VE2,2,2007-10-26T00:00:00+00:00,2007-10-26T23:59:59+00:00
VE2Z,2,2007-10-26T00:00:00+00:00,2007-10-28T23:59:59+00:00
JH1ROJ/VE2,2,1991-03-21T00:00:00+00:00,1991-03-24T23:59:59+00:00
VA1CN/2,2,2016-10-29T00:00:00+00:00,2016-12-03T23:59:59+00:00
VA3NA/2,2,2001-11-21T00:00:00+00:00,2001-11-26T23:59:59+00:00
VB2R,2,2000-10-25T00:00:00+00:00,2000-10-29T23:59:59+00:00
VB2V,2,2001-10-21T00:00:00+00:00,2001-10-29T23:59:59+00:00
VE2/F5JYD,2,1993-08-17T00:00:00+00:00,1993-08-19T23:59:59+00:00
VE2/N1NK,2,2001-10-24T00:00:00+00:00,2001-10-26T23:59:59+00:00
VE2/W2NTJ,2,2001-10-30T00:00:00+00:00,2003-07-10T23:59:59+00:00
VE2ACP/P,2,2002-01-13T00:00:00+00:00,
VE2/F5JYD,2,1993-08-06T00:00:00+00:00,1993-08-10T23:59:59+00:00
VE2ACP,2,1966-08-27T00:00:00+00:00,2005-05-10T23:59:59+00:00
WD4KXB/VE2,2,1991-10-25T00:00:00+00:00,1991-10-28T23:59:59+00:00
VA2KCE,2,2001-10-24T00:00:00+00:00,2001-10-26T23:59:59+00:00
VE2QRZ,2,1995-10-26T00:00:00+00:00,1995-10-30T23:59:59+00:00
VE7MID/VE2,2,2011-11-01T00:00:00+00:00,2011-11-09T23:59:59+00:00
W8OK/VE2,2,1982-10-29T00:00:00+00:00,1982-10-31T23:59:59+00:00
W4TMO/VE2,2,2017-09-23T00:00:00+00:00,2017-09-24T23:59:59+00:00
VE2AE,2,1998-01-01T00:00:00+00:00,2000-03-31T23:59:59+00:00
VE2TVU,2,1992-03-28T00:00:00+00:00,1999-10-31T23:59:59+00:00
VE2QRZ,2,1997-10-21T00:00:00+00:00,1997-10-27T23:59:59+00:00
W5GED/VE2,2,2007-10-25T00:00:00+00:00,2007-10-28T23:59:59+00:00
VE3ZF/2,2,2011-10-30T00:00:00+00:00,2011-10-30T23:59:59+00:00
CI8XN,2,1988-04-01T00:00:00+00:00,1988-04-30T23:59:59+00:00
VE8XN,2,1988-04-03T00:00:00+00:00,1988-04-04T23:59:59+00:00
VC2C,2,2002-10-25T00:00:00+00:00,2002-10-27T23:59:59+00:00
VC2Q,2,2016-07-26T00:00:00+00:00,2016-07-31T23:59:59+00:00
VC2R,2,2013-11-21T00:00:00+00:00,2013-11-24T23:59:59+00:00
VC2W/2,2,2016-11-26T00:00:00+00:00,2016-11-27T23:59:59+00:00
VE2CVI,2,2003-10-25T00:00:00+00:00,2003-10-27T23:59:59+00:00
VE2CVI,2,2004-10-28T00:00:00+00:00,2004-10-31T23:59:59+00:00
VA2ZM,2,2017-10-27T00:00:00+00:00,2017-10-29T23:59:59+00:00
VA2ZM,2,2005-10-29T00:00:00+00:00,2005-10-30T23:59:59+00:00
VA2ZM,2,2006-10-28T00:00:00+00:00,2006-10-29T23:59:59+00:00
VA2ZM,2,2007-10-26T00:00:00+00:00,2007-10-28T23:59:59+00:00
VA2ZM,2,2008-10-25T00:00:00+00:00,2008-10-27T23:59:59+00:00
VE7ACN/VE2,2,2018-04-10T00:00:00+00:00,2018-04-17T23:59:59+00:00
VA2BK,2,2007-06-07T00:00:00+00:00,2007-06-11T23:59:59+00:00
DK4YA/VY8,2,1984-06-20T00:00:00+00:00,1984-08-19T23:59:59+00:00
CJ8PW,2,1992-06-01T00:00:00+00:00,1992-09-15T23:59:59+00:00
CG8PW,2,1987-05-15T00:00:00+00:00,1987-09-15T23:59:59+00:00
XK8PW,2,1987-05-15T00:00:00+00:00,1987-09-15T23:59:59+00:00
VE8PW/P,2,1993-07-06T00:00:00+00:00,1993-07-08T23:59:59+00:00
DK4YA/VE8,2,1980-06-01T00:00:00+00:00,1986-09-15T23:59:59+00:00
VE2DVG,2,1982-07-26T00:00:00+00:00,1982-08-04T23:59:59+00:00
VE8AT,2,1957-09-01T00:00:00+00:00,1959-02-28T23:59:59+00:00
VE8RCS,2,1964-10-01T00:00:00+00:00,1997-05-17T23:59:59+00:00
VE8ML,2,1950-04-01T00:00:00+00:00,1985-12-31T23:59:59+00:00
CK8MB,2,1980-05-04T00:00:00+00:00,1980-05-06T23:59:59+00:00
VE8MB,2,1947-09-01T00:00:00+00:00,1992-12-31T23:59:59+00:00
3C8MA,2,1967-01-01T00:00:00+00:00,1967-04-10T23:59:59+00:00
VE8MA,2,1947-04-01T00:00:00+00:00,1998-12-31T23:59:59+00:00
3C8RCS,2,1967-01-01T00:00:00+00:00,1967-04-10T23:59:59+00:00
VE4AFQ/VE8,2,1980-03-01T00:00:00+00:00,1980-08-14T23:59:59+00:00
VE8HB,2,1978-01-01T00:00:00+00:00,1981-06-30T23:59:59+00:00
VE8MTE,2,1976-01-01T00:00:00+00:00,1980-12-31T23:59:59+00:00
K1LNV/VE8,2,1964-10-01T00:00:00+00:00,1965-12-31T23:59:59+00:00
VE8MW,2,1965-01-01T00:00:00+00:00,1965-12-31T23:59:59+00:00
WA4ZDE/VE8,2,1973-06-06T00:00:00+00:00,1973-10-28T23:59:59+00:00
WA8RGJ/VE8,2,1973-05-12T00:00:00+00:00,1973-07-09T23:59:59+00:00
WA7TFO/VE8,2,1972-05-01T00:00:00+00:00,1972-07-31T23:59:59+00:00
WB4WQP/VE8,2,1971-10-01T00:00:00+00:00,1972-02-28T23:59:59+00:00
VE1FW/VE8,2,1970-06-01T00:00:00+00:00,1970-12-31T23:59:59+00:00
VE8YB,2,1968-05-01T00:00:00+00:00,1970-12-31T23:59:59+00:00
VE8YL,2,1965-11-01T00:00:00+00:00,1970-12-31T23:59:59+00:00
VE8YT,2,1953-11-01T00:00:00+00:00,1973-12-31T23:59:59+00:00
VO1DE/VE8,2,1970-05-01T00:00:00+00:00,1970-06-30T23:59:59+00:00
VE8NS,2,1969-01-01T00:00:00+00:00,1970-06-30T23:59:59+00:00
WB8BNJ/VE8,2,1969-05-01T00:00:00+00:00,1969-12-31T23:59:59+00:00
VE8NS,2,1949-01-01T00:00:00+00:00,1949-12-31T23:59:59+00:00
VE8NS,2,1957-01-01T00:00:00+00:00,1958-12-31T23:59:59+00:00
K4YVS/VE8,2,1963-01-01T00:00:00+00:00,1964-12-31T23:59:59+00:00
VE8SM,2,1953-11-01T00:00:00+00:00,1973-12-31T23:59:59+00:00
VE8SD,2,1953-11-01T00:00:00+00:00,1973-12-31T23:59:59+00:00
VE8OG,2,1953-11-01T00:00:00+00:00,1973-12-31T23:59:59+00:00
VE8TU,2,1959-11-26T00:00:00+00:00,1964-09-30T23:59:59+00:00
VE8MX,2,1954-01-01T00:00:00+00:00,1958-12-31T23:59:59+00:00
VE8AJ,2,1976-01-01T00:00:00+00:00,1996-12-31T23:59:59+00:00
VE7APU/8,2,1964-12-01T00:00:00+00:00,1965-03-31T23:59:59+00:00
W6ZNT/VE8,2,1955-10-01T00:00:00+00:00,1955-12-31T23:59:59+00:00
VE3DWG/8,2,1957-06-12T00:00:00+00:00,1957-08-28T23:59:59+00:00
W5YAX/VE8,2,1956-08-01T00:00:00+00:00,1956-08-31T23:59:59+00:00
K2JCK/VE8,2,1957-08-04T00:00:00+00:00,1957-11-14T23:59:59+00:00
K5CTN/VE8,2,1955-07-01T00:00:00+00:00,1956-12-31T23:59:59+00:00
W6SFR/VE8,2,1956-09-01T00:00:00+00:00,1957-06-30T23:59:59+00:00
VE3DXN/VE8,2,1957-01-01T00:00:00+00:00,1957-12-31T23:59:59+00:00
WB0ICS/VE8,2,1972-08-15T00:00:00+00:00,1973-02-26T23:59:59+00:00
WA1QOX/VE8,2,1972-07-30T00:00:00+00:00,1972-11-15T23:59:59+00:00
VE8ZZ,2,1965-04-03T00:00:00+00:00,1970-03-22T23:59:59+00:00
F6ICE/VE8,2,1983-04-01T00:00:00+00:00,1983-04-21T23:59:59+00:00
NU2L/VE8,2,1994-08-15T00:00:00+00:00,1994-08-17T23:59:59+00:00
VE8DL,2,1963-10-03T00:00:00+00:00,1964-05-22T23:59:59+00:00
VE8OW,2,1956-07-01T00:00:00+00:00,1958-12-31T23:59:59+00:00
VE8OE,2,1948-01-01T00:00:00+00:00,1950-12-31T23:59:59+00:00
W5RYF/VE8,2,1953-01-01T00:00:00+00:00,1953-12-31T23:59:59+00:00
VE8PB,2,1958-01-01T00:00:00+00:00,1958-12-31T23:59:59+00:00
VE4KQ/8,2,1979-04-20T00:00:00+00:00,1979-10-31T23:59:59+00:00
VE8RH,2,1949-01-01T00:00:00+00:00,1950-12-31T23:59:59+00:00
VE8SF,2,1949-01-01T00:00:00+00:00,1949-12-31T23:59:59+00:00
VE8SF,2,1955-01-01T00:00:00+00:00,1955-12-31T23:59:59+00:00
VE8TO,2,1956-09-01T00:00:00+00:00,1960-04-30T23:59:59+00:00
VE8RH,2,1963-01-01T00:00:00+00:00,1964-12-31T23:59:59+00:00
VE8WR,2,1953-01-01T00:00:00+00:00,1953-12-31T23:59:59+00:00
VE8YI,2,1967-12-21T00:00:00+00:00,1969-07-02T23:59:59+00:00
VE8YI,2,1973-01-18T00:00:00+00:00,1976-04-15T23:59:59+00:00
VE8RB,2,1979-01-01T00:00:00+00:00,1980-05-30T23:59:59+00:00
XJ5AE/VE8,2,1980-08-01T00:00:00+00:00,1980-09-18T23:59:59+00:00
VE8AG,2,1966-01-01T00:00:00+00:00,1968-12-31T23:59:59+00:00
VE8BZ,2,1965-01-01T00:00:00+00:00,1966-03-01T23:59:59+00:00
VE8CO,2,1973-10-02T00:00:00+00:00,1973-11-17T23:59:59+00:00
VE8CO,2,1963-12-19T00:00:00+00:00,1966-02-04T23:59:59+00:00
WB2YFW/VE8,2,1968-01-01T00:00:00+00:00,1968-12-31T23:59:59+00:00
